tweets,id,len,date,source,likes,retweets
"b'RT @NewsHour: WATCH LIVE: Sen. Richard Blumenthal (D-Conn.), a member of the Judiciary Committee, holds a news conference about the release\xe2\x80\xa6'",1118917614166843392,140,2019-04-18 16:42:02,TweetDeck,0,26
b'RT @vicenews: The Mueller report is here.\n\n@ItsMikeKay is reading it live right now. https://t.co/ftNlGbFNg5',1118904691361046528,108,2019-04-18 15:50:41,TweetDeck,0,365
"b""RT @NBCNews: BREAKING: NBC News Special Report: AG Barr's redacted Mueller report made public https://t.co/H2wKtgqTia https://t.co/yhrLaMpT\xe2\x80\xa6""",1118894354591035392,140,2019-04-18 15:09:36,TweetDeck,0,80
"b'RT @ABC: ABC NEWS SPECIAL REPORT: Department of Justice releases Mueller report, with some redactions, to Congress; it is now available to\xe2\x80\xa6'",1118894020028067840,139,2019-04-18 15:08:17,TweetDeck,0,97
"b'RT @ABCNewsLive: HAPPENING NOW: The @ABCPolitics team awaits the Mueller report, Pres. Trump expected to speak at Wounded Warrior event ahe\xe2\x80\xa6'",1118891291557945350,140,2019-04-18 14:57:26,TweetDeck,0,3
"b""RT @NewsHour: Follow this @TwitterMoments collection for the latest updates ahead of today's #MuellerReport public release. \xe2\x9a\xa1 https://t.co/\xe2\x80\xa6""",1118891136460967937,140,2019-04-18 14:56:49,TweetDeck,0,17
"b""RT @NewsHour: WATCH LIVE: President Trump delivers remarks for the Wounded Warrior Project's Soldier Ride https://t.co/8vxEnbfNus""",1118886877413638144,129,2019-04-18 14:39:54,TweetDeck,0,17
b'RT @NBCNews: LIVE: AG Barr to discuss the redacted Mueller report before he releases it this morning. https://t.co/Vxc4HyhcPU https://t.co/\xe2\x80\xa6',1118876804691972103,140,2019-04-18 13:59:52,Twitter for  iPhone,0,182
b'Attorney General Barr and Deputy AG Rosenstein hold news conference about the release of redacted Mueller report\n\nhttps://t.co/HE0JGbz6FC',1118875149225349125,137,2019-04-18 13:53:17,TweetDeck,5,4
b'RT @Reuters: Attorney General Barr discusses Mueller report ahead of release https://t.co/fbaKPCaGcl',1118870756350398466,100,2019-04-18 13:35:50,TweetDeck,0,238
b'RT @USATODAY: Attorney General Barr and Deputy AG Rosenstein hold news conference on release of redacted Mueller report. https://t.co/HPlkX\xe2\x80\xa6',1118870723634835456,140,2019-04-18 13:35:42,TweetDeck,0,49
b'RT @ABC: ABC NEWS SPECIAL REPORT: Attorney General William Barr holds a press conference ahead of releasing the redacted Mueller report to\xe2\x80\xa6',1118870097878224896,139,2019-04-18 13:33:13,Twitter for  iPhone,0,277
b'RT @TIME: AG William Barr holds news conference ahead of release of redacted Mueller report https://t.co/GvoXNQ0mPj',1118869108186132480,115,2019-04-18 13:29:17,TweetDeck,0,54
"b""RT @HuffPost: Attorney General William Barr holds a press conference on the release of special counsel Robert Mueller's report. https://t.c\xe2\x80\xa6""",1118867782450515968,140,2019-04-18 13:24:01,TweetDeck,0,30
"b""RT @business: WATCH: Attorney General William Barr's press conference on the Mueller report release https://t.co/v6DNMcyK3v""",1118867502619090945,123,2019-04-18 13:22:54,TweetDeck,0,15
b'RT @ABC: LIVE NOW: FBI holds press conference after armed teen allegedly obsessed with Columbine is found dead. https://t.co/a9zqrusUyG',1118606032845049860,135,2019-04-17 20:03:55,TweetDeck,0,74
"b'RT @nowthisnews: BETO IN VIRGINIA: @BetoORourke holds a town hall at the Crowne Plaza Old Town in Alexandria, VA. O\xe2\x80\x99Rourke made six campaig\xe2\x80\xa6'",1118596510898376704,140,2019-04-17 19:26:05,TweetDeck,0,64
"b'RT @NewsHour: WATCH LIVE: President Trump takes part in Opportunity Zone conference with state, local, tribal and community leaders\n https:\xe2\x80\xa6'",1118580131822559232,140,2019-04-17 18:21:00,TweetDeck,0,12
